n_trials,parameter,posterior_mean,posterior_std
25,drift_rate,1.2965612411499023,0.0887078046798706
25,boundary,1.1883898973464966,0.06361815333366394
25,non_decision_time,0.15666648745536804,0.025595394894480705
50,drift_rate,1.1207215785980225,0.07227902114391327
50,boundary,1.0341962575912476,0.0476728230714798
50,non_decision_time,0.23859171569347382,0.023477066308259964
100,drift_rate,1.2299625873565674,0.07690008729696274
100,boundary,1.0204957723617554,0.04951058328151703
100,non_decision_time,0.2434563934803009,0.02399478666484356
200,drift_rate,1.2059048414230347,0.07485905289649963
200,boundary,0.9693653583526611,0.046616215258836746
200,non_decision_time,0.28283488750457764,0.022573109716176987
500,drift_rate,1.135365605354309,0.07418766617774963
500,boundary,1.0428335666656494,0.050637900829315186
500,non_decision_time,0.22186657786369324,0.02392253838479519
